User's manual r01uh0186ej0330-rl78g14; Version 1.00; November 15, 2016
RegisterName,RegisterBookmark,RegisterTableCaption,NumberOfAppearance,ModuleInformation,SearchKey
POM14,4.3.5 Port output mode registers (POMxx),Figure4-5FormatofPortoutputmoderegister(100-pinproducts),,,
PMC0,4.3.6 Port mode control registers (PMCxx),Figure4-6FormatofPortmodecontrolregister(100-pinproducts),,,
PMC1,4.3.6 Port mode control registers (PMCxx),Figure4-6FormatofPortmodecontrolregister(100-pinproducts),,,
PMC10,4.3.6 Port mode control registers (PMCxx),Figure4-6FormatofPortmodecontrolregister(100-pinproducts),,,
PMC12,4.3.6 Port mode control registers (PMCxx),Figure4-6FormatofPortmodecontrolregister(100-pinproducts),,,
PMC14,4.3.6 Port mode control registers (PMCxx),Figure4-6FormatofPortmodecontrolregister(100-pinproducts),,,
NFEN0,17.3.16 Noise filter enable register 0 (NFEN0),Figure17-25FormatofNoisefilterenableregister0(NFEN0),,,
NFEN1,"6.3.14 Noise filter enable registers 1, 2 (NFEN1, NFEN2)","Figure6-26FormatofNoisefilterenableregister1,2(NFEN1,NFEN2)(1/2)",,,
NFEN2,"6.3.14 Noise filter enable registers 1, 2 (NFEN1, NFEN2)","Figure6-26FormatofNoisefilterenableregister1,2(NFEN1,NFEN2)(1/2)",,,
ISC,6.3.13 Input switch control register (ISC),Figure6-25FormatofInputswitchcontrolregister(ISC),,TIMER ARRAY UNIT,
SSIE00,6.3.13 Input switch control register (ISC),Figure6-25FormatofInputswitchcontrolregister(ISC),2,TIMER ARRAY UNIT,
ISC,17.3.15 Input switch control register (ISC),Figure17-24FormatofInputswitchcontrolregister(ISC),,SERIAL ARRAY UNIT,
SSIE00,17.3.15 Input switch control register (ISC),Figure17-24FormatofInputswitchcontrolregister(ISC),2,SERIAL ARRAY UNIT,
TIS0,6.3.8 Timer input select register 0 (TIS0),Figure6-20FormatofTimerinputselectregister0(TIS0),,TIMER ARRAY UNIT,
TIS0,27.3.7 Frequency detection function,Figure27-14FormatofTimerinputselectregister0(TIS0),,SAFETY FUNCTIONS,
ADPC,4.3.7 A/D port configuration register (ADPC),Figure4-7FormatofA/Dportconfigurationregister(ADPC),,,
PIOR0,4.3.8 Peripheral I/O redirection register 0 (PIOR0),Figure4-8FormatofPeripheralI/Oredirectionregister0(PIOR0),,,
IAWCTL,27.3.4 RAM guard function,Figure27-9FormatofInvalidmemoryaccessdetectioncontrolregister(IAWCTL),,RAM guard function,
IAWCTL,27.3.5 SFR guard function,Figure27-10FormatofInvalidmemoryaccessdetectioncontrolregister(IAWCTL),,SFR guard function,
IAWCTL,27.3.6 Invalid memory access detection function,Figure27-12FormatofInvalidmemoryaccessdetectioncontrolregister(IAWCTL),,Invalid memory access detection function,
PIOR1,4.3.9 Peripheral I/O redirection register 1 (PIOR1),Figure4-9FormatofPeripheralI/Oredirectionregister1(PIOR1),,,
PER1,"5.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure5-10FormatofPeripheralenableregister1(PER1)(1/2),,CLOCK GENERATOR,
TRJ0EN,"5.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure5-11FormatofPeripheralenableregister1(PER1)(2/2),2,CLOCK GENERATOR,
DTCEN,"5.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure5-11FormatofPeripheralenableregister1(PER1)(2/2),2,CLOCK GENERATOR,
TRD0EN,"5.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure5-10FormatofPeripheralenableregister1(PER1)(1/2),2,CLOCK GENERATOR,
CMPEN,"5.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure5-10FormatofPeripheralenableregister1(PER1)(1/2),2,CLOCK GENERATOR,
TRGEN,"5.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure5-10FormatofPeripheralenableregister1(PER1)(1/2),2,CLOCK GENERATOR,
DACEN,"5.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure5-10FormatofPeripheralenableregister1(PER1)(1/2),2,CLOCK GENERATOR,
PER1,7.3.1 Peripheral enable register 1 (PER1),Figure7-2FormatofPeripheralenableregister1(PER1),,TIMER RJ,
TRJ0EN,7.3.1 Peripheral enable register 1 (PER1),Figure7-2FormatofPeripheralenableregister1(PER1),2,TIMER RJ,
PER1,8.3.1 Peripheral enable register 1 (PER1),Figure8-2FormatofPeripheralenableregister1(PER1),,TIMER RD,
TRD0EN,8.3.1 Peripheral enable register 1 (PER1),Figure8-2FormatofPeripheralenableregister1(PER1),2,TIMER RD,
PER1,9.3.1 Peripheral enable register 1 (PER1),Figure9-2FormatofPeripheralenableregister1(PER1),,TIMER RG,
TRGEN,9.3.1 Peripheral enable register 1 (PER1),Figure9-2FormatofPeripheralenableregister1(PER1),2,TIMER RG,
PER1,15.3.1 Peripheral enable register 1 (PER1),Figure15-2FormatofPeripheralenableregister1(PER1),,D/A CONVERTER,
DACEN,15.3.1 Peripheral enable register 1 (PER1),Figure15-2FormatofPeripheralenableregister1(PER1),2,D/A CONVERTER,
PER1,16.3.1 Peripheral enable register 1 (PER1),Figure16-2FormatofPeripheralenableregister1(PER1),,COMPARATOR,
CMPEN,16.3.1 Peripheral enable register 1 (PER1),Figure16-2FormatofPeripheralenableregister1(PER1),2,COMPARATOR,
PER1,19.3.4 Peripheral enable register 1 (PER1),Figure19-5FormatofPeripheralenableregister1(PER1),,DATA TRANSFER CONTROLLER (DTC),
DTCEN,19.3.4 Peripheral enable register 1 (PER1),Figure19-5FormatofPeripheralenableregister1(PER1),2,DATA TRANSFER CONTROLLER (DTC),
PMS,27.3.9 Digital output signal level detection function for I/O pins,Figure27-18FormatofPortmodeselectregister(PMS),,,
GDIDIS,4.3.10 Global digital input disable register (GDIDIS),Figure4-10FormatofGlobaldigitalinputdisableregister(GDIDIS),,,
DFLCTL,30.8.2 Register controlling data flash memory,Figure30-12FormatofDataflashcontrolregister(DFLCTL),,,
DFLEN,30.8.2 Register controlling data flash memory,Figure30-12FormatofDataflashcontrolregister(DFLCTL),2,,
HIOTRM,5.3.9 High-speed on-chip oscillator trimming register (HIOTRM),Figure5-14FormatofHigh-speedon-chiposcillatortrimmingregister(HIOTRM),,,
HOCODIV,5.3.8 High-speed on-chip oscillator frequency select register (HOCODIV),Figure5-13FormatofHigh-speedon-chiposcillatorfrequencyselectregister(HOCODIV),,,
PER0,"5.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure5-7FormatofPeripheralenableregister0(PER0)(1/3),,CLOCK GENERATOR,
TAU0EN,"5.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure5-9FormatofPeripheralenableregister0(PER0)(3/3),2,CLOCK GENERATOR,
TAU1EN,"5.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure5-9FormatofPeripheralenableregister0(PER0)(3/3),2,CLOCK GENERATOR,
SAU0EN,"5.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure5-8FormatofPeripheralenableregister0(PER0)(2/3),2,CLOCK GENERATOR,
SAU1EN,"5.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure5-8FormatofPeripheralenableregister0(PER0)(2/3),2,CLOCK GENERATOR,
IICA0EN,"5.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure5-8FormatofPeripheralenableregister0(PER0)(2/3),2,CLOCK GENERATOR,
ADCEN,"5.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure5-8FormatofPeripheralenableregister0(PER0)(2/3),2,CLOCK GENERATOR,
IICA1EN,"5.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure5-8FormatofPeripheralenableregister0(PER0)(2/3),2,CLOCK GENERATOR,
RTCEN,"5.3.6 Peripheral enable registers 0, 1 (PER0, PER1)",Figure5-7FormatofPeripheralenableregister0(PER0)(1/3),2,CLOCK GENERATOR,
PER0,6.3.1 Peripheral enable register 0 (PER0),Figure6-9FormatofPeripheralenableregister0(PER0),,TIMER ARRAY UNIT,
TAU0EN,6.3.1 Peripheral enable register 0 (PER0),Figure6-9FormatofPeripheralenableregister0(PER0),2,TIMER ARRAY UNIT,
TAU1EN,6.3.1 Peripheral enable register 0 (PER0),Figure6-9FormatofPeripheralenableregister0(PER0),2,TIMER ARRAY UNIT,
PER0,10.3.1 Peripheral enable register 0 (PER0),Figure10-2FormatofPeripheralenableregister0(PER0),,REAL-TIME CLOCK,
RTCEN,10.3.1 Peripheral enable register 0 (PER0),Figure10-2FormatofPeripheralenableregister0(PER0),2,REAL-TIME CLOCK,
PER0,11.3.1 Peripheral enable register 0 (PER0),Figure11-2FormatofPeripheralenableregister0(PER0),,12-BIT INTERVAL TIMER,
RTCEN,11.3.1 Peripheral enable register 0 (PER0),Figure11-2FormatofPeripheralenableregister0(PER0),2,12-BIT INTERVAL TIMER,
PER0,14.3.1 Peripheral enable register 0 (PER0),Figure14-2FormatofPeripheralenableregister0(PER0),,A/D CONVERTER,
ADCEN,14.3.1 Peripheral enable register 0 (PER0),Figure14-2FormatofPeripheralenableregister0(PER0),2,A/D CONVERTER,
PER0,17.3.1 Peripheral enable register 0 (PER0),Figure17-5FormatofPeripheralenableregister0(PER0),,SERIAL ARRAY UNIT,
SAU0EN,17.3.1 Peripheral enable register 0 (PER0),Figure17-5FormatofPeripheralenableregister0(PER0),1,SERIAL ARRAY UNIT,SAUmEN
SAU1EN,17.3.1 Peripheral enable register 0 (PER0),Figure17-5FormatofPeripheralenableregister0(PER0),1,SERIAL ARRAY UNIT,SAUmEN
PER0,18.3.1 Peripheral enable register 0 (PER0),Figure18-5FormatofPeripheralenableregister0(PER0),,SERIAL INTERFACE IICA,
IICA0EN,18.3.1 Peripheral enable register 0 (PER0),Figure18-5FormatofPeripheralenableregister0(PER0),1,SERIAL INTERFACE IICA,IICAnEN
IICA1EN,18.3.1 Peripheral enable register 0 (PER0),Figure18-5FormatofPeripheralenableregister0(PER0),1,SERIAL INTERFACE IICA,IICAnEN
OSMC,5.3.7 Subsystem clock supply mode control register (OSMC),Figure5-12FormatofSubsystemclocksupplymodecontrolregister(OSMC),,CLOCK GENERATOR,
OSMC,7.3.2 Subsystem clock supply mode control register (OSMC),Figure7-3FormatofSubsystemclocksupplymodecontrolregister(OSMC),,TIMER RJ,
OSMC,10.3.2 Subsystem clock supply mode control register (OSMC),Figure10-3FormatofSubsystemclocksupplymodecontrolregister(OSMC),,REAL-TIME CLOCK,
OSMC,11.3.2 Subsystem clock supply mode control register (OSMC),Figure11-3FormatofSubsystemclocksupplymodecontrolregister(OSMC),,12-BIT INTERVAL TIMER,
RPECTL,27.3.3 RAM parity error detection function,Figure27-7FormatofRAMparityerrorcontrolregister(RPECTL),,,
RPEF,27.3.3 RAM parity error detection function,Figure27-7FormatofRAMparityerrorcontrolregister(RPECTL),2,,
RPERDIS,27.3.3 RAM parity error detection function,Figure27-7FormatofRAMparityerrorcontrolregister(RPECTL),2,,
BCDADJ,32.2.1 BCD correction result register (BCDADJ),Figure32-1FormatofBCDcorrectionresultregister(BCDADJ),,,
SSR00,17.3.7 Serial status register mn (SSRmn),Figure17-13FormatofSerialstatusregistermn(SSRmn)(1/2),,,
SSR00L,17.3.7 Serial status register mn (SSRmn),Figure17-13FormatofSerialstatusregistermn(SSRmn)(1/2),,,
SSR01,17.3.7 Serial status register mn (SSRmn),Figure17-13FormatofSerialstatusregistermn(SSRmn)(1/2),,,
SSR01L,17.3.7 Serial status register mn (SSRmn),Figure17-13FormatofSerialstatusregistermn(SSRmn)(1/2),,,
SSR02,17.3.7 Serial status register mn (SSRmn),Figure17-13FormatofSerialstatusregistermn(SSRmn)(1/2),,,
SSR02L,17.3.7 Serial status register mn (SSRmn),Figure17-13FormatofSerialstatusregistermn(SSRmn)(1/2),,,
SSR03,17.3.7 Serial status register mn (SSRmn),Figure17-13FormatofSerialstatusregistermn(SSRmn)(1/2),,,
SSR03L,17.3.7 Serial status register mn (SSRmn),Figure17-13FormatofSerialstatusregistermn(SSRmn)(1/2),,,
SIR00,17.3.6 Serial flag clear trigger register mn (SIRmn),Figure17-12FormatofSerialflagcleartriggerregistermn(SIRmn),,,
SIR00L,17.3.6 Serial flag clear trigger register mn (SIRmn),Figure17-12FormatofSerialflagcleartriggerregistermn(SIRmn),,,
SIR01,17.3.6 Serial flag clear trigger register mn (SIRmn),Figure17-12FormatofSerialflagcleartriggerregistermn(SIRmn),,,
SIR01L,17.3.6 Serial flag clear trigger register mn (SIRmn),Figure17-12FormatofSerialflagcleartriggerregistermn(SIRmn),,,
SIR02,17.3.6 Serial flag clear trigger register mn (SIRmn),Figure17-12FormatofSerialflagcleartriggerregistermn(SIRmn),,,
SIR02L,17.3.6 Serial flag clear trigger register mn (SIRmn),Figure17-12FormatofSerialflagcleartriggerregistermn(SIRmn),,,
SIR03,17.3.6 Serial flag clear trigger register mn (SIRmn),Figure17-12FormatofSerialflagcleartriggerregistermn(SIRmn),,,
SIR03L,17.3.6 Serial flag clear trigger register mn (SIRmn),Figure17-12FormatofSerialflagcleartriggerregistermn(SIRmn),,,
SMR00,17.3.3 Serial mode register mn (SMRmn),Figure17-7FormatofSerialmoderegistermn(SMRmn)(1/2),,,
SMR01,17.3.3 Serial mode register mn (SMRmn),Figure17-7FormatofSerialmoderegistermn(SMRmn)(1/2),,,
SMR02,17.3.3 Serial mode register mn (SMRmn),Figure17-7FormatofSerialmoderegistermn(SMRmn)(1/2),,,
SMR03,17.3.3 Serial mode register mn (SMRmn),Figure17-7FormatofSerialmoderegistermn(SMRmn)(1/2),,,
SCR00,17.3.4 Serial communication operation setting register mn (SCRmn),Figure17-9FormatofSerialcommunicationoperationsettingregistermn(SCRmn)(1/2),,,
SCR01,17.3.4 Serial communication operation setting register mn (SCRmn),Figure17-9FormatofSerialcommunicationoperationsettingregistermn(SCRmn)(1/2),,,
SCR02,17.3.4 Serial communication operation setting register mn (SCRmn),Figure17-9FormatofSerialcommunicationoperationsettingregistermn(SCRmn)(1/2),,,
SCR03,17.3.4 Serial communication operation setting register mn (SCRmn),Figure17-9FormatofSerialcommunicationoperationsettingregistermn(SCRmn)(1/2),,,
SE0,17.3.10 Serial channel enable status register m (SEm),Figure17-17FormatofSerialchannelenablestatusregisterm(SEm),,,
SE0L,17.3.10 Serial channel enable status register m (SEm),Figure17-17FormatofSerialchannelenablestatusregisterm(SEm),,,
SS0,17.3.8 Serial channel start register m (SSm),Figure17-15FormatofSerialchannelstartregisterm(SSm),,,
SS0L,17.3.8 Serial channel start register m (SSm),Figure17-15FormatofSerialchannelstartregisterm(SSm),,,
ST0,17.3.9 Serial channel stop register m (STm),Figure17-16FormatofSerialchannelstopregisterm(STm),,,
ST0L,17.3.9 Serial channel stop register m (STm),Figure17-16FormatofSerialchannelstopregisterm(STm),,,
SPS0,17.3.2 Serial clock select register m (SPSm),Figure17-6FormatofSerialclockselectregisterm(SPSm),,,
SPS0L,17.3.2 Serial clock select register m (SPSm),Figure17-6FormatofSerialclockselectregisterm(SPSm),,,
SO0,17.3.12 Serial output register m (SOm),Figure17-19FormatofSerialoutputregisterm(SOm),,,
SOE0,17.3.11 Serial output enable register m (SOEm),Figure17-18FormatofSerialoutputenableregisterm(SOEm),,,
SOE0L,17.3.11 Serial output enable register m (SOEm),Figure17-18FormatofSerialoutputenableregisterm(SOEm),,,
SOL0,17.3.13 Serial output level register m (SOLm),Figure17-20FormatofSerialoutputlevelregisterm(SOLm),,,
SOL0L,17.3.13 Serial output level register m (SOLm),Figure17-20FormatofSerialoutputlevelregisterm(SOLm),,,
SSC0,17.3.14 Serial standby control register m (SSCm),Figure17-22FormatofSerialstandbycontrolregisterm(SSCm),,,
SSC0L,17.3.14 Serial standby control register m (SSCm),Figure17-22FormatofSerialstandbycontrolregisterm(SSCm),,,
SSR10,17.3.7 Serial status register mn (SSRmn),Figure17-13FormatofSerialstatusregistermn(SSRmn)(1/2),,,
SSR10L,17.3.7 Serial status register mn (SSRmn),Figure17-13FormatofSerialstatusregistermn(SSRmn)(1/2),,,
SSR11,17.3.7 Serial status register mn (SSRmn),Figure17-13FormatofSerialstatusregistermn(SSRmn)(1/2),,,
SSR11L,17.3.7 Serial status register mn (SSRmn),Figure17-13FormatofSerialstatusregistermn(SSRmn)(1/2),,,
SSR12,17.3.7 Serial status register mn (SSRmn),Figure17-13FormatofSerialstatusregistermn(SSRmn)(1/2),,,
SSR12L,17.3.7 Serial status register mn (SSRmn),Figure17-13FormatofSerialstatusregistermn(SSRmn)(1/2),,,
SSR13,17.3.7 Serial status register mn (SSRmn),Figure17-13FormatofSerialstatusregistermn(SSRmn)(1/2),,,
SSR13L,17.3.7 Serial status register mn (SSRmn),Figure17-13FormatofSerialstatusregistermn(SSRmn)(1/2),,,
SIR10,17.3.6 Serial flag clear trigger register mn (SIRmn),Figure17-12FormatofSerialflagcleartriggerregistermn(SIRmn),,,
SIR10L,17.3.6 Serial flag clear trigger register mn (SIRmn),Figure17-12FormatofSerialflagcleartriggerregistermn(SIRmn),,,
SIR11,17.3.6 Serial flag clear trigger register mn (SIRmn),Figure17-12FormatofSerialflagcleartriggerregistermn(SIRmn),,,
SIR11L,17.3.6 Serial flag clear trigger register mn (SIRmn),Figure17-12FormatofSerialflagcleartriggerregistermn(SIRmn),,,
SIR12,17.3.6 Serial flag clear trigger register mn (SIRmn),Figure17-12FormatofSerialflagcleartriggerregistermn(SIRmn),,,
SIR12L,17.3.6 Serial flag clear trigger register mn (SIRmn),Figure17-12FormatofSerialflagcleartriggerregistermn(SIRmn),,,
SIR13,17.3.6 Serial flag clear trigger register mn (SIRmn),Figure17-12FormatofSerialflagcleartriggerregistermn(SIRmn),,,
SIR13L,17.3.6 Serial flag clear trigger register mn (SIRmn),Figure17-12FormatofSerialflagcleartriggerregistermn(SIRmn),,,
SMR10,17.3.3 Serial mode register mn (SMRmn),Figure17-7FormatofSerialmoderegistermn(SMRmn)(1/2),,,
SMR11,17.3.3 Serial mode register mn (SMRmn),Figure17-7FormatofSerialmoderegistermn(SMRmn)(1/2),,,
SMR12,17.3.3 Serial mode register mn (SMRmn),Figure17-7FormatofSerialmoderegistermn(SMRmn)(1/2),,,
SMR13,17.3.3 Serial mode register mn (SMRmn),Figure17-7FormatofSerialmoderegistermn(SMRmn)(1/2),,,
SCR10,17.3.4 Serial communication operation setting register mn (SCRmn),Figure17-9FormatofSerialcommunicationoperationsettingregistermn(SCRmn)(1/2),,,
SCR11,17.3.4 Serial communication operation setting register mn (SCRmn),Figure17-9FormatofSerialcommunicationoperationsettingregistermn(SCRmn)(1/2),,,
SCR12,17.3.4 Serial communication operation setting register mn (SCRmn),Figure17-9FormatofSerialcommunicationoperationsettingregistermn(SCRmn)(1/2),,,
SCR13,17.3.4 Serial communication operation setting register mn (SCRmn),Figure17-9FormatofSerialcommunicationoperationsettingregistermn(SCRmn)(1/2),,,
SE1,17.3.10 Serial channel enable status register m (SEm),Figure17-17FormatofSerialchannelenablestatusregisterm(SEm),,,
SE1L,17.3.10 Serial channel enable status register m (SEm),Figure17-17FormatofSerialchannelenablestatusregisterm(SEm),,,
SS1,17.3.8 Serial channel start register m (SSm),Figure17-15FormatofSerialchannelstartregisterm(SSm),,,
SS1L,17.3.8 Serial channel start register m (SSm),Figure17-15FormatofSerialchannelstartregisterm(SSm),,,
ST1,17.3.9 Serial channel stop register m (STm),Figure17-16FormatofSerialchannelstopregisterm(STm),,,
ST1L,17.3.9 Serial channel stop register m (STm),Figure17-16FormatofSerialchannelstopregisterm(STm),,,
SPS1,17.3.2 Serial clock select register m (SPSm),Figure17-6FormatofSerialclockselectregisterm(SPSm),,,
SPS1L,17.3.2 Serial clock select register m (SPSm),Figure17-6FormatofSerialclockselectregisterm(SPSm),,,
SO1,17.3.12 Serial output register m (SOm),Figure17-19FormatofSerialoutputregisterm(SOm),,,
SOE1,17.3.11 Serial output enable register m (SOEm),Figure17-18FormatofSerialoutputenableregisterm(SOEm),,,
SOE1L,17.3.11 Serial output enable register m (SOEm),Figure17-18FormatofSerialoutputenableregisterm(SOEm),,,
SOL1,17.3.13 Serial output level register m (SOLm),Figure17-20FormatofSerialoutputlevelregisterm(SOLm),,,
SOL1L,17.3.13 Serial output level register m (SOLm),Figure17-20FormatofSerialoutputlevelregisterm(SOLm),,,
SSC1,17.3.14 Serial standby control register m (SSCm),Figure17-22FormatofSerialstandbycontrolregisterm(SSCm),,,
SSC1L,17.3.14 Serial standby control register m (SSCm),Figure17-22FormatofSerialstandbycontrolregisterm(SSCm),,,
TCR00,6.2.1 Timer count register mn (TCRmn),Figure6-6FormatofTimercountregistermn(TCRmn),,,
TCR01,6.2.1 Timer count register mn (TCRmn),Figure6-6FormatofTimercountregistermn(TCRmn),,,
TCR02,6.2.1 Timer count register mn (TCRmn),Figure6-6FormatofTimercountregistermn(TCRmn),,,
TCR03,6.2.1 Timer count register mn (TCRmn),Figure6-6FormatofTimercountregistermn(TCRmn),,,
TMR00,6.3.3 Timer mode register mn (TMRmn),Figure6-12FormatofTimermoderegistermn(TMRmn)(1/4),,,
TMR01,6.3.3 Timer mode register mn (TMRmn),Figure6-12FormatofTimermoderegistermn(TMRmn)(1/4),,,
TMR02,6.3.3 Timer mode register mn (TMRmn),Figure6-12FormatofTimermoderegistermn(TMRmn)(1/4),,,
TMR03,6.3.3 Timer mode register mn (TMRmn),Figure6-12FormatofTimermoderegistermn(TMRmn)(1/4),,,
TSR00,6.3.4 Timer status register mn (TSRmn),Figure6-16FormatofTimerstatusregistermn(TSRmn),,,
TSR00L,6.3.4 Timer status register mn (TSRmn),Figure6-16FormatofTimerstatusregistermn(TSRmn),,,
TSR01,6.3.4 Timer status register mn (TSRmn),Figure6-16FormatofTimerstatusregistermn(TSRmn),,,
TSR01L,6.3.4 Timer status register mn (TSRmn),Figure6-16FormatofTimerstatusregistermn(TSRmn),,,
TSR02,6.3.4 Timer status register mn (TSRmn),Figure6-16FormatofTimerstatusregistermn(TSRmn),,,
TSR02L,6.3.4 Timer status register mn (TSRmn),Figure6-16FormatofTimerstatusregistermn(TSRmn),,,
TSR03,6.3.4 Timer status register mn (TSRmn),Figure6-16FormatofTimerstatusregistermn(TSRmn),,,
TSR03L,6.3.4 Timer status register mn (TSRmn),Figure6-16FormatofTimerstatusregistermn(TSRmn),,,
TE0,6.3.5 Timer channel enable status register m (TEm),Figure6-17FormatofTimerchannelenablestatusregisterm(TEm),,,
TE0L,6.3.5 Timer channel enable status register m (TEm),Figure6-17FormatofTimerchannelenablestatusregisterm(TEm),,,
TS0,6.3.6 Timer channel start register m (TSm),Figure6-18FormatofTimerchannelstartregisterm(TSm),,,
TS0L,6.3.6 Timer channel start register m (TSm),Figure6-18FormatofTimerchannelstartregisterm(TSm),,,
TT0,6.3.7 Timer channel stop register m (TTm),Figure6-19FormatofTimerchannelstopregisterm(TTm),,,
TT0L,6.3.7 Timer channel stop register m (TTm),Figure6-19FormatofTimerchannelstopregisterm(TTm),,,
TPS0,6.3.2 Timer clock select register m (TPSm),Figure6-10FormatofTimerclockselectregisterm(TPSm)(1/2),,,
TO0,6.3.10 Timer output register m (TOm),Figure6-22FormatofTimeroutputregisterm(TOm),,,
TO0L,6.3.10 Timer output register m (TOm),Figure6-22FormatofTimeroutputregisterm(TOm),,,
TOE0,6.3.9 Timer output enable register m (TOEm),Figure6-21FormatofTimeroutputenableregisterm(TOEm),,,
TOE0L,6.3.9 Timer output enable register m (TOEm),Figure6-21FormatofTimeroutputenableregisterm(TOEm),,,
TOL0,6.3.11 Timer output level register m (TOLm),Figure6-23FormatofTimeroutputlevelregisterm(TOLm),,,
TOL0L,6.3.11 Timer output level register m (TOLm),Figure6-23FormatofTimeroutputlevelregisterm(TOLm),,,
TOM0,6.3.12 Timer output mode register m (TOMm),Figure6-24FormatofTimeroutputmoderegisterm(TOMm),,,
TOM0L,6.3.12 Timer output mode register m (TOMm),Figure6-24FormatofTimeroutputmoderegisterm(TOMm),,,
TCR10,6.2.1 Timer count register mn (TCRmn),Figure6-6FormatofTimercountregistermn(TCRmn),,,
TCR11,6.2.1 Timer count register mn (TCRmn),Figure6-6FormatofTimercountregistermn(TCRmn),,,
TCR12,6.2.1 Timer count register mn (TCRmn),Figure6-6FormatofTimercountregistermn(TCRmn),,,
TCR13,6.2.1 Timer count register mn (TCRmn),Figure6-6FormatofTimercountregistermn(TCRmn),,,
TMR10,6.3.3 Timer mode register mn (TMRmn),Figure6-12FormatofTimermoderegistermn(TMRmn)(1/4),,,
